mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
2424386,"Poindexter-Rowan complex, 8 to 15 percent slopes",Wynott,10.0,Well drained,0.0,10.0,1.25,4.9,0.15,12.5,67.9,19.6,1.48,9.1,osm-1435108796
2424386,"Poindexter-Rowan complex, 8 to 15 percent slopes",Wynott,10.0,Well drained,10.0,36.0,0.25,4.9,0.15,12.5,67.9,19.6,1.48,6.8,osm-1435108796
2424382,"Iredell loam, 2 to 6 percent slopes",Sedgefield,10.0,Moderately well drained,20.0,102.0,0.25,5.8,0.16,47.5,23.3,29.2,1.33,25.0,osm-1435108796
2424384,"Iredell loam, 6 to 10 percent slopes",Sedgefield,10.0,Moderately well drained,20.0,102.0,0.25,5.8,0.16,47.5,23.3,29.2,1.33,25.0,osm-1435108796
2424291,"Hiwassee fine sandy loam, 2 to 6 percent slopes",Masada,8.0,Well drained,0.0,23.0,2.0,5.0,0.14,15.0,62.3,22.7,1.35,,osm-1435108796
2424296,"Lloyd clay loam, 6 to 10 percent slopes, moderately eroded",Madison,8.0,Well drained,0.0,13.0,1.25,5.5,0.14,33.5,26.5,40.0,1.35,4.5,osm-1435108796
2424296,"Lloyd clay loam, 6 to 10 percent slopes, moderately eroded",Madison,8.0,Well drained,13.0,74.0,0.25,5.0,0.16,40.0,24.0,36.0,1.3,,osm-1435108796
2424291,"Hiwassee fine sandy loam, 2 to 6 percent slopes",Masada,8.0,Well drained,23.0,114.0,0.25,5.0,0.14,47.5,28.5,24.0,1.45,,osm-1435108796
2424295,"Lloyd clay loam, 2 to 6 percent slopes, moderately eroded",Madison,6.0,Well drained,0.0,13.0,1.25,5.5,0.14,33.5,26.5,40.0,1.35,4.5,osm-1435108796
2424295,"Lloyd clay loam, 2 to 6 percent slopes, moderately eroded",Madison,6.0,Well drained,13.0,74.0,0.25,5.0,0.16,40.0,24.0,36.0,1.3,,osm-1435108796
2424291,"Hiwassee fine sandy loam, 2 to 6 percent slopes",Cecil,5.0,Well drained,0.0,18.0,0.75,5.5,0.13,12.5,70.9,16.6,1.4,3.0,osm-1435108796
2424376,"Mecklenburg clay loam, 2 to 8 percent slopes, moderately eroded",Lloyd,5.0,Well drained,0.0,18.0,1.25,6.4,0.14,30.0,33.5,36.5,1.45,5.8,osm-1435108796
2424384,"Iredell loam, 6 to 10 percent slopes",Brewback,5.0,Somewhat poorly drained,0.0,10.0,0.75,6.0,0.16,12.0,69.9,18.1,1.4,6.5,osm-1435108796
2424384,"Iredell loam, 6 to 10 percent slopes",Brewback,5.0,Somewhat poorly drained,10.0,25.0,0.25,6.3,0.16,27.5,54.5,18.0,1.4,17.5,osm-1435108796
2424291,"Hiwassee fine sandy loam, 2 to 6 percent slopes",Cecil,5.0,Well drained,18.0,102.0,0.25,5.0,0.14,52.5,37.0,10.5,1.4,5.8,osm-1435108796
2424376,"Mecklenburg clay loam, 2 to 8 percent slopes, moderately eroded",Lloyd,5.0,Well drained,18.0,147.0,0.25,5.4,0.14,55.0,17.1,27.9,1.38,6.1,osm-1435108796
