field_id,year,crop_code,crop_name,pixel_count,pct
osm-548794709,2022,176,Grass/Pasture,11,2.47
osm-548794709,2022,122,Code_122,10,2.25
osm-548794709,2022,152,Code_152,5,1.12
osm-548794709,2022,123,Code_123,4,0.9
osm-548794709,2022,190,Xmas Trees,3,0.67
osm-548794709,2022,1,Corn,2,0.45
osm-548794709,2022,143,Code_143,2,0.45
osm-548794709,2022,2,Code_2,1,0.22
osm-548794709,2022,59,Code_59,1,0.22
osm-548794709,2022,61,Fallow/Idle Cropland,1,0.22
osm-548794709,2022,142,Code_142,1,0.22
osm-1305439648,2022,176,Grass/Pasture,413,48.65
osm-1305439648,2022,5,Soybeans,204,24.03
osm-1305439648,2022,1,Corn,151,17.79
osm-1305439648,2022,26,Code_26,49,5.77
osm-1305439648,2022,37,Code_37,8,0.94
osm-1305439648,2022,121,Developed/Open Space,5,0.59
osm-1305439648,2022,141,Deciduous Forest,5,0.59
osm-1305439648,2022,61,Fallow/Idle Cropland,4,0.47
osm-1305439648,2022,2,Code_2,2,0.24
osm-1305439648,2022,21,Code_21,2,0.24
osm-1305439648,2022,24,Winter Wheat,2,0.24
osm-1305439648,2022,11,Code_11,1,0.12
osm-1305439648,2022,143,Code_143,1,0.12
osm-1305439648,2022,152,Code_152,1,0.12
osm-1305439648,2022,254,Code_254,1,0.12
osm-566823123,2022,5,Soybeans,88,88.0
osm-566823123,2022,121,Developed/Open Space,5,5.0
osm-566823123,2022,122,Code_122,4,4.0
osm-566823123,2022,1,Corn,2,2.0
osm-566823123,2022,176,Grass/Pasture,1,1.0
osm-1278239614,2022,1,Corn,126,79.75
osm-1278239614,2022,5,Soybeans,28,17.72
osm-1278239614,2022,121,Developed/Open Space,2,1.27
osm-1278239614,2022,176,Grass/Pasture,2,1.27
osm-1103713058,2022,1,Corn,153,62.7
osm-1103713058,2022,37,Code_37,29,11.89
osm-1103713058,2022,176,Grass/Pasture,25,10.25
osm-1103713058,2022,5,Soybeans,20,8.2
osm-1103713058,2022,26,Code_26,8,3.28
osm-1103713058,2022,121,Developed/Open Space,3,1.23
osm-1103713058,2022,24,Winter Wheat,2,0.82
osm-1103713058,2022,61,Fallow/Idle Cropland,2,0.82
osm-1103713058,2022,28,Alfalfa,1,0.41
osm-1103713058,2022,142,Code_142,1,0.41
osm-274848457,2022,5,Soybeans,256,89.51
osm-274848457,2022,121,Developed/Open Space,11,3.85
osm-274848457,2022,176,Grass/Pasture,8,2.8
osm-274848457,2022,143,Code_143,4,1.4
osm-274848457,2022,37,Code_37,3,1.05
osm-274848457,2022,142,Code_142,2,0.7
osm-274848457,2022,2,Code_2,1,0.35
osm-274848457,2022,61,Fallow/Idle Cropland,1,0.35
osm-260949778,2022,141,Deciduous Forest,977,28.34
osm-260949778,2022,176,Grass/Pasture,934,27.09
osm-260949778,2022,5,Soybeans,310,8.99
osm-260949778,2022,37,Code_37,251,7.28
osm-260949778,2022,26,Code_26,223,6.47
osm-260949778,2022,143,Code_143,190,5.51
osm-260949778,2022,142,Code_142,141,4.09
osm-260949778,2022,123,Code_123,101,2.93
osm-260949778,2022,121,Developed/Open Space,89,2.58
osm-260949778,2022,122,Code_122,86,2.49
osm-260949778,2022,1,Corn,84,2.44
osm-260949778,2022,111,Code_111,19,0.55
osm-260949778,2022,152,Code_152,16,0.46
osm-260949778,2022,24,Winter Wheat,14,0.41
osm-260949778,2022,61,Fallow/Idle Cropland,5,0.15
osm-260949778,2022,124,Code_124,3,0.09
osm-260949778,2022,226,Code_226,2,0.06
osm-260949778,2022,2,Code_2,1,0.03
osm-260949778,2022,4,Code_4,1,0.03
